epoch_h,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,hyper_param,hp_update
23,1.6500239372253418,0.36,3.02880859375,0.08,3.2610297203063965,0.12,"tensor([-5.1173, -2.7381, -5.0084,  ..., -3.5276, -3.6740, -2.7960],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
24,1.6177138090133667,0.38,3.1081583499908447,0.08,3.329885244369507,0.1,"tensor([-5.1645, -2.6763, -5.0588,  ..., -3.4981, -3.6813, -2.7776],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
25,1.5853872299194336,0.38,3.1059515476226807,0.06,3.3061347007751465,0.12,"tensor([-5.2074, -2.6152, -5.1107,  ..., -3.4739, -3.6923, -2.7631],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
26,1.5625630617141724,0.38,3.304840087890625,0.08,3.5305395126342773,0.12,"tensor([-5.2517, -2.5552, -5.1582,  ..., -3.4444, -3.7037, -2.7478],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
27,1.526059865951538,0.4,3.3076910972595215,0.06,3.540903329849243,0.12,"tensor([-5.2957, -2.4951, -5.2064,  ..., -3.4212, -3.7181, -2.7350],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
28,1.474214792251587,0.42,3.4246914386749268,0.08,3.644927740097046,0.12,"tensor([-5.3344, -2.4407, -5.2484,  ..., -3.4058, -3.7346, -2.7246],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
29,1.5561636686325073,0.36,3.536637306213379,0.06,3.750044345855713,0.12,"tensor([-5.3751, -2.3852, -5.2898,  ..., -3.3879, -3.7531, -2.7151],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
30,1.5319736003875732,0.4,3.5082268714904785,0.1,3.6497442722320557,0.12,"tensor([-5.4090, -2.3344, -5.3286,  ..., -3.3730, -3.7770, -2.7081],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
31,1.5532407760620117,0.44,3.4144396781921387,0.08,3.5057289600372314,0.12,"tensor([-5.4267, -2.3024, -5.3529,  ..., -3.3607, -3.8037, -2.7038],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
32,1.5195095539093018,0.42,3.6769227981567383,0.06,3.8341827392578125,0.14,"tensor([-5.4544, -2.2598, -5.3824,  ..., -3.3366, -3.8271, -2.6998],
       device='cuda:0', requires_grad=True)","tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')"
